,translation_err,orientation_err
126,11.574826132603462,4.3272972000019116e-05
127,11.577223328587904,4.3272972000019116e-05
128,11.611666547055163,4.3272972000019116e-05
129,11.67431368432423,4.3272972000019116e-05
130,11.71884078837461,4.351139100000623e-05
131,11.750499652204976,3.2067298999960414e-05
132,11.898820565520989,3.2067298999960414e-05
133,11.939538557805033,3.0636786999993504e-05
134,12.009095566167568,3.224611300001179e-05
135,12.088352228715037,3.224611300001179e-05
136,12.21102756241094,3.522634499997235e-05
137,12.262359090670168,3.3557414999996205e-05
138,12.366520830402312,3.486871699998062e-05
139,12.386909907314998,3.486871699998062e-05
140,12.484593368847975,4.6253203999979675e-05
141,12.582232785777373,4.2676926000018156e-05
142,12.619601501853202,4.2676926000018156e-05
143,12.760903827446748,3.6180018999965036e-05
